Date,Open,High,Low,Close
09/22/2010,"1,139.49","1,144.38","1,131.58","1,134.28"
09/21/2010,"1,142.82","1,148.59","1,136.22","1,139.78"
09/20/2010,"1,126.57","1,144.86","1,126.57","1,142.71"
09/17/2010,"1,126.39","1,131.47","1,122.43","1,125.59"
09/16/2010,"1,123.89","1,125.44","1,118.88","1,124.66"
09/15/2010,"1,119.43","1,126.46","1,114.63","1,125.07"
09/14/2010,"1,121.16","1,127.36","1,115.58","1,121.10"
09/13/2010,"1,113.38","1,123.87","1,113.38","1,121.90"
09/10/2010,"1,104.57","1,110.88","1,103.92","1,109.55"
09/09/2010,"1,101.15","1,110.27","1,101.15","1,104.18"
09/08/2010,"1,092.36","1,103.26","1,092.36","1,098.87"
09/07/2010,"1,102.60","1,102.60","1,091.15","1,091.84"
09/03/2010,"1,093.61","1,105.10","1,093.61","1,104.51"
09/02/2010,"1,080.66","1,090.10","1,080.39","1,090.10"
09/01/2010,"1,049.72","1,081.30","1,049.72","1,080.29"
08/31/2010,"1,046.88","1,055.14","1,040.88","1,049.33"
08/30/2010,"1,062.90","1,064.40","1,048.79","1,048.92"
08/27/2010,"1,049.27","1,065.21","1,039.70","1,064.59"
08/26/2010,"1,047.91","1,056.28","1,045.40","1,047.22"
08/25/2010,"1,048.98","1,059.38","1,039.83","1,055.33"
08/24/2010,"1,063.20","1,063.20","1,046.68","1,051.87"
08/23/2010,"1,073.36","1,081.58","1,067.08","1,067.36"
08/20/2010,"1,075.63","1,075.63","1,063.91","1,071.69"
08/19/2010,"1,092.44","1,092.44","1,070.66","1,075.63"
08/18/2010,"1,092.08","1,099.77","1,085.76","1,094.16"
08/17/2010,"1,081.16","1,100.14","1,081.16","1,092.54"
08/16/2010,"1,077.49","1,082.62","1,069.49","1,079.38"
08/13/2010,"1,082.22","1,086.25","1,079.00","1,079.25"
08/12/2010,"1,081.48","1,086.72","1,076.69","1,083.61"
08/11/2010,"1,116.89","1,116.89","1,088.55","1,089.47"
08/10/2010,"1,122.92","1,127.16","1,111.58","1,121.06"
08/09/2010,"1,122.80","1,129.24","1,120.91","1,127.79"
08/06/2010,"1,122.07","1,123.06","1,107.17","1,121.64"
08/05/2010,"1,125.78","1,126.56","1,118.81","1,125.81"
08/04/2010,"1,121.06","1,128.75","1,119.46","1,127.24"
08/03/2010,"1,125.34","1,125.44","1,116.76","1,120.46"
08/02/2010,"1,107.53","1,127.30","1,107.53","1,125.86"
07/30/2010,"1,098.44","1,106.44","1,088.01","1,101.60"
07/29/2010,"1,108.07","1,115.90","1,092.82","1,101.53"
07/28/2010,"1,112.84","1,114.66","1,103.11","1,106.13"
07/27/2010,"1,117.36","1,120.95","1,109.78","1,113.84"
07/26/2010,"1,102.89","1,115.01","1,101.30","1,115.01"
07/23/2010,"1,092.17","1,103.73","1,087.88","1,102.66"
07/22/2010,"1,072.14","1,097.50","1,072.14","1,093.67"
07/21/2010,"1,086.67","1,088.96","1,065.25","1,069.59"
07/20/2010,"1,064.53","1,083.94","1,056.88","1,083.48"
07/19/2010,"1,066.85","1,074.70","1,061.11","1,071.25"
07/16/2010,"1,093.85","1,093.85","1,063.32","1,064.88"
07/15/2010,"1,094.46","1,098.66","1,080.53","1,096.48"
07/14/2010,"1,095.61","1,099.08","1,087.68","1,095.17"
07/13/2010,"1,080.65","1,099.46","1,080.65","1,095.34"
07/12/2010,"1,077.23","1,080.78","1,070.45","1,078.75"
07/09/2010,"1,070.50","1,078.16","1,068.10","1,077.96"
07/08/2010,"1,062.92","1,071.25","1,058.24","1,070.25"
07/07/2010,"1,028.54","1,060.89","1,028.54","1,060.27"
07/06/2010,"1,028.09","1,042.50","1,018.35","1,028.06"
07/02/2010,"1,027.65","1,032.95","1,015.93","1,022.58"
07/01/2010,"1,031.10","1,033.58","1,010.91","1,027.37"
06/30/2010,"1,040.56","1,048.08","1,028.33","1,030.71"
06/29/2010,"1,071.10","1,071.10","1,035.18","1,041.24"
06/28/2010,"1,074.89","1,082.60","1,071.45","1,074.57"
06/25/2010,"1,075.10","1,083.56","1,067.89","1,076.76"
06/24/2010,"1,090.93","1,090.93","1,071.60","1,073.69"
06/23/2010,"1,095.57","1,099.64","1,085.31","1,092.04"
06/22/2010,"1,113.90","1,118.50","1,094.18","1,095.31"
06/21/2010,"1,122.79","1,131.23","1,108.24","1,113.20"
06/18/2010,"1,116.16","1,121.01","1,113.93","1,117.51"
06/17/2010,"1,115.98","1,117.72","1,105.87","1,116.04"
06/16/2010,"1,114.02","1,118.74","1,107.13","1,114.61"
06/15/2010,"1,091.21","1,115.59","1,091.21","1,115.23"
06/14/2010,"1,095.00","1,105.91","1,089.03","1,089.63"
06/11/2010,"1,082.65","1,092.25","1,077.12","1,091.60"
06/10/2010,"1,058.77","1,087.85","1,058.77","1,086.84"
06/09/2010,"1,062.75","1,077.74","1,052.25","1,055.69"
06/08/2010,"1,050.81","1,063.15","1,042.17","1,062.00"
06/07/2010,"1,065.84","1,071.36","1,049.86","1,050.47"
06/04/2010,"1,098.43","1,098.43","1,060.50","1,064.88"
06/03/2010,"1,098.82","1,105.67","1,091.81","1,102.83"
06/02/2010,"1,073.01","1,098.56","1,072.03","1,098.38"
06/01/2010,"1,087.30","1,094.77","1,069.89","1,070.71"
05/28/2010,"1,102.59","1,102.59","1,084.78","1,089.41"
05/27/2010,"1,074.27","1,103.52","1,074.27","1,103.06"
05/26/2010,"1,075.51","1,090.75","1,065.59","1,067.95"
05/25/2010,"1,067.42","1,074.75","1,040.78","1,074.03"
05/24/2010,"1,084.78","1,089.95","1,072.70","1,073.65"
05/21/2010,"1,067.26","1,090.16","1,055.90","1,087.69"
05/20/2010,"1,107.34","1,107.34","1,071.58","1,071.59"
05/19/2010,"1,119.57","1,124.27","1,100.66","1,115.05"
05/18/2010,"1,138.78","1,148.66","1,117.20","1,120.80"
05/17/2010,"1,136.52","1,141.88","1,114.96","1,136.94"
05/14/2010,"1,157.19","1,157.19","1,126.14","1,135.68"
05/13/2010,"1,170.04","1,173.57","1,156.14","1,157.44"
05/12/2010,"1,155.43","1,172.87","1,155.43","1,171.67"
05/11/2010,"1,156.39","1,170.48","1,147.71","1,155.79"
05/10/2010,"1,122.27","1,163.85","1,122.27","1,159.73"
05/07/2010,"1,127.04","1,135.13","1,096.13","1,110.88"
05/06/2010,"1,164.38","1,167.58","1,065.79","1,128.15"
05/05/2010,"1,169.24","1,175.95","1,158.15","1,165.90"
05/04/2010,"1,197.50","1,197.50","1,168.12","1,173.60"
05/03/2010,"1,188.58","1,205.13","1,188.58","1,202.26"
04/30/2010,"1,206.77","1,207.99","1,186.32","1,186.69"
04/29/2010,"1,193.30","1,209.36","1,193.30","1,206.78"
04/28/2010,"1,191.97","1,195.05","1,181.81","1,191.36"
04/27/2010,"1,209.92","1,211.38","1,181.62","1,183.71"
04/26/2010,"1,217.07","1,218.80","1,211.07","1,212.05"
04/23/2010,"1,207.87","1,217.28","1,205.10","1,217.28"
04/22/2010,"1,202.52","1,210.27","1,190.19","1,208.67"
04/21/2010,"1,207.16","1,210.99","1,198.85","1,205.94"
04/20/2010,"1,199.04","1,208.58","1,199.04","1,207.17"
04/19/2010,"1,192.06","1,197.87","1,183.68","1,197.52"
04/16/2010,"1,210.17","1,210.17","1,186.77","1,192.13"
04/15/2010,"1,210.77","1,213.92","1,208.50","1,211.67"
04/14/2010,"1,198.69","1,210.65","1,198.69","1,210.65"
04/13/2010,"1,195.94","1,199.04","1,188.82","1,197.30"
04/12/2010,"1,194.94","1,199.20","1,194.71","1,196.48"
04/09/2010,"1,187.47","1,194.66","1,187.15","1,194.37"
04/08/2010,"1,181.75","1,188.55","1,175.12","1,186.44"
04/07/2010,"1,188.23","1,189.60","1,177.25","1,182.45"
04/06/2010,"1,186.01","1,191.80","1,182.77","1,189.44"
04/05/2010,"1,178.71","1,187.73","1,178.71","1,187.44"
04/01/2010,"1,171.23","1,181.43","1,170.69","1,178.10"
03/31/2010,"1,171.75","1,174.56","1,165.77","1,169.43"
03/30/2010,"1,173.75","1,177.83","1,168.92","1,173.27"
03/29/2010,"1,167.71","1,174.85","1,167.71","1,173.22"
03/26/2010,"1,167.58","1,173.93","1,161.48","1,166.59"
03/25/2010,"1,170.03","1,180.69","1,165.09","1,165.73"
03/24/2010,"1,172.70","1,173.04","1,166.01","1,167.72"
03/23/2010,"1,166.47","1,174.72","1,163.83","1,174.17"
03/22/2010,"1,157.25","1,167.82","1,152.88","1,165.81"
03/19/2010,"1,166.68","1,169.20","1,155.33","1,159.90"
03/18/2010,"1,166.13","1,167.77","1,161.16","1,165.83"
03/17/2010,"1,159.94","1,169.84","1,159.94","1,166.21"
03/16/2010,"1,150.83","1,160.28","1,150.35","1,159.46"
03/15/2010,"1,148.53","1,150.98","1,141.45","1,150.51"
03/12/2010,"1,151.71","1,153.41","1,146.97","1,149.99"
03/11/2010,"1,143.96","1,150.24","1,138.99","1,150.24"
03/10/2010,"1,140.22","1,148.26","1,140.09","1,145.61"
03/09/2010,"1,137.56","1,145.37","1,134.90","1,140.45"
